"Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"23.03.2024 20:00";"3.5";"737.8";"753.5";"";"35";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"6.9";"";"";"";"";"";"";"-10.5";"Осадков нет";"12";"";"";"";"";
"23.03.2024 17:00";"6.2";"739.0";"754.6";"";"39";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"23.03.2024 14:00";"6.6";"740.3";"755.9";"";"39";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.4";"";"";"";"";"";"";
"23.03.2024 11:00";"2.7";"741.4";"757.3";"";"52";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.4";"";"";"";"";"";"";
"23.03.2024 08:00";"-0.7";"741.7";"757.7";"";"65";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"-1.4";"";"";"";"";"";"";"";"-6.6";"Осадков нет";"12";"";"";"";"";
"23.03.2024 05:00";"-1.3";"742.3";"758.4";"";"68";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.6";"";"";"";"";"";"";
"22.03.2024 23:00";"2.2";"743.8";"759.7";"";"56";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.8";"";"";"";"";"";"";
"22.03.2024 20:00";"4.0";"744.1";"760.0";"";"50";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"6.8";"";"";"";"";"";"";"-5.7";"Осадков нет";"12";"";"";"";"";
"22.03.2024 17:00";"6.6";"745.2";"760.9";"";"38";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.7";"";"";"";"";"";"";
"22.03.2024 14:00";"5.6";"746.5";"762.4";"";"49";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.5";"";"";"";"";"";"";
"22.03.2024 11:00";"2.0";"747.6";"763.6";"";"58";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.6";"";"";"";"";"";"";
"22.03.2024 08:00";"-1.4";"747.7";"763.9";"";"69";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"-3.1";"";"";"";"";"";"";"";"-6.5";"Осадков нет";"12";"";"";"";"";
"22.03.2024 05:00";"-2.6";"748.2";"764.5";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"22.03.2024 02:00";"-0.3";"748.6";"764.8";"";"61";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"21.03.2024 23:00";"0.6";"748.9";"765.0";"";"55";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.6";"";"";"";"";"";"";
"21.03.2024 20:00";"3.3";"749.0";"765.0";"";"48";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"7.3";"";"";"";"";"";"";"-6.8";"Осадков нет";"12";"";"";"";"";
"21.03.2024 17:00";"7.1";"749.8";"765.7";"";"30";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.4";"";"";"";"";"";"";
"21.03.2024 14:00";"6.1";"750.8";"766.7";"";"33";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.1";"";"";"";"";"";"";
"21.03.2024 11:00";"2.1";"751.7";"767.8";"";"33";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.6";"";"";"";"";"";"";
"21.03.2024 08:00";"-5.4";"752.0";"768.6";"";"58";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-7.0";"";"";"";"";"";"";"";"-12.5";"Осадков нет";"12";"";"";"";"";
"21.03.2024 05:00";"-4.8";"752.4";"769.0";"";"55";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.6";"";"";"";"";"";"";
"21.03.2024 02:00";"-4.1";"752.6";"769.1";"";"49";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.3";"";"";"";"";"";"";
"20.03.2024 23:00";"-3.4";"753.0";"769.5";"";"53";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.6";"";"";"";"";"";"";
"20.03.2024 20:00";"7.2";"752.8";"768.8";"";"17";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"7.3";"";"";"";"";"";"";"-16.5";"Осадков нет";"12";"";"";"";"";
"20.03.2024 17:00";"7.2";"753.0";"768.8";"";"17";"Ветер, дующий с западо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.5";"";"";"";"";"";"";
"20.03.2024 14:00";"5.5";"753.6";"769.6";"";"23";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.3";"";"";"";"";"";"";
"20.03.2024 11:00";"0.7";"754.0";"770.3";"";"30";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.9";"";"";"";"";"";"";
"20.03.2024 08:00";"-7.9";"753.8";"770.5";"";"57";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-7.9";"";"";"";"";"";"";"";"-15.1";"Осадков нет";"12";"";"";"";"";
"20.03.2024 05:00";"-7.2";"753.4";"770.1";"";"64";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.0";"";"";"";"";"";"";
"20.03.2024 02:00";"-5.9";"753.2";"769.9";"";"52";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.2";"";"";"";"";"";"";
"19.03.2024 23:00";"-5.1";"752.9";"769.5";"";"56";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.6";"";"";"";"";"";"";
"19.03.2024 14:00";"2.3";"753.3";"769.4";"";"29";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.2";"";"";"";"";"";"";
"19.03.2024 11:00";"-0.1";"753.5";"769.8";"";"39";"Ветер, дующий с западо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.4";"";"";"";"";"";"";
"19.03.2024 08:00";"-6.7";"752.8";"769.5";"";"65";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"-7.3";"";"";"";"";"";"";"";"-12.2";"Осадков нет";"12";"";"";"";"";
"19.03.2024 05:00";"-5.4";"752.1";"768.7";"";"60";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.0";"";"";"";"";"";"";
"19.03.2024 02:00";"-3.6";"751.0";"767.5";"";"62";"Ветер, дующий с северо-северо-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.0";"";"";"";"";"";"";
"18.03.2024 23:00";"-1.6";"750.4";"766.8";"";"68";"Ветер, дующий с севера";"2";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"18.03.2024 20:00";"0.0";"749.3";"765.5";"";"73";"Ветер, дующий с севера";"3";"";"10";"";" ";"";"";"";"7.7";"";"";"";"";"";"";"-4.4";"Осадков нет";"12";"";"";"";"";
"18.03.2024 17:00";"6.4";"748.0";"763.7";"";"39";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.7";"";"";"";"";"";"";
"18.03.2024 14:00";"6.0";"748.0";"763.9";"";"33";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.1";"";"";"";"";"";"";
"18.03.2024 11:00";"3.0";"748.3";"764.3";"";"27";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.3";"";"";"";"";"";"";
"18.03.2024 08:00";"-2.3";"748.6";"764.9";"";"36";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"-3.1";"";"";"";"";"";"";"";"-15.6";"Осадков нет";"12";"";"";"";"";
"18.03.2024 05:00";"-0.6";"749.2";"765.5";"";"34";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.7";"";"";"";"";"";"";
"18.03.2024 02:00";"-0.2";"749.8";"766.1";"";"39";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.7";"";"";"";"";"";"";
"17.03.2024 23:00";"0.8";"750.4";"766.6";"";"36";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.8";"";"";"";"";"";"";
"17.03.2024 20:00";"3.3";"751.0";"767.0";"";"32";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"6.0";"";"";"";"";"";"";"-11.9";"Осадков нет";"12";"";"";"";"";
"17.03.2024 17:00";"5.8";"751.8";"767.7";"";"32";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.9";"";"";"";"";"";"";
"17.03.2024 14:00";"4.7";"752.5";"768.5";"";"40";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.0";"";"";"";"";"";"";
"17.03.2024 11:00";"0.7";"753.0";"769.2";"";"53";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
"17.03.2024 08:00";"-3.9";"753.0";"769.5";"";"69";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"-3.9";"";"";"";"";"";"";"";"-8.8";"Осадков нет";"12";"";"";"";"";
"17.03.2024 05:00";"-2.6";"752.9";"769.3";"";"68";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.8";"";"";"";"";"";"";
