"Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"24.03.2024 06:00";"2.7";"738.7";"752.0";"";"97";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"2.7";"";"";"";"";"";"";"";"2.2";"Осадков нет";"12";"";"";"";"";
"24.03.2024 03:00";"3.1";"738.5";"751.9";"";"96";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"24.03.2024 00:00";"2.9";"738.2";"751.6";"";"97";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"23.03.2024 21:00";"4.0";"737.3";"750.6";"";"95";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"4.2";"";"";"";"";"";"";"3.2";"2.0";"12";"";"";"";"";
"23.03.2024 18:00";"3.8";"736.6";"749.9";"";"93";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"2.0";"12";"";"";"";"";
"23.03.2024 15:00";"4.0";"737.0";"750.3";"";"90";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"23.03.2024 12:00";"3.2";"737.9";"751.3";"";"92";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"23.03.2024 09:00";"2.7";"739.2";"752.5";"";"87";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"-0.7";"";"";"";"";"";"";"";"0.7";"0.2";"12";"";"";"";"";
"23.03.2024 06:00";"0.7";"741.1";"754.6";"";"89";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"-0.7";"";"";"";"";"";"";"";"-1.0";"Осадков нет";"12";"";"";"";"";
"23.03.2024 03:00";"-0.4";"742.9";"756.5";"";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.8";"";"";"";"";"";"";
"23.03.2024 00:00";"-0.3";"744.7";"758.4";"";"80";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.3";"";"";"";"";"";"";
"22.03.2024 21:00";"1.9";"746.0";"759.6";"";"64";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"7.2";"";"";"";"";"";"";"-4.3";"Осадков нет";"12";"";"";"";"";
"22.03.2024 18:00";"5.2";"746.8";"760.1";"";"50";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.6";"Осадков нет";"12";"";"";"";"";
"22.03.2024 15:00";"7.1";"748.6";"761.9";"";"35";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.5";"";"";"";"";"";"";
"22.03.2024 12:00";"5.5";"750.1";"763.5";"";"35";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.8";"";"";"";"";"";"";
