"Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"23.03.2024 22:00";"-1.2";"752.1";"761.7";"";"71";"Ветер, дующий с юго-востока";"4";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.8";"";"";"";"";"";"";
"23.03.2024 16:00";"1.9";"752.3";"761.8";"";"55";"Ветер, дующий с юго-юго-востока";"5";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.3";"";"";"";"";"";"";
"23.03.2024 13:00";"-0.4";"752.7";"762.3";"";"60";"Ветер, дующий с юго-юго-востока";"5";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.3";"";"";"";"";"";"";
"23.03.2024 10:00";"-3.6";"752.2";"762.0";"";"71";"Ветер, дующий с юго-юго-востока";"5";"";"10";"";" ";"";"";"-6.3";"";"";"";"";"";"";"";"-8.1";"";"";"";"";"";"";
"23.03.2024 07:00";"-4.6";"751.9";"761.7";"";"82";"Ветер, дующий с юго-востока";"5";"";"";"";" ";"";"";"-6.3";"";"";"";"";"";"";"";"-7.3";"";"";"";"";"";"";
"23.03.2024 04:00";"-6.2";"752.7";"762.5";"";"87";"Ветер, дующий с юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.1";"";"";"";"";"";"";
"23.03.2024 01:00";"-5.2";"753.4";"763.2";"";"79";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.3";"";"";"";"";"";"";
"22.03.2024 22:00";"-3.4";"753.5";"763.3";"";"68";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.5";"";"";"";"";"";"";
"22.03.2024 19:00";"-1.4";"753.4";"763.0";"";"60";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"-0.3";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"22.03.2024 16:00";"-0.9";"753.6";"763.3";"";"58";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
